曜,限,学期,年,クラス,科目名,担当者,講義コード,教室,受講対象/再履修者科目名,備考
月,4,前期後半,3,,Global Studies(2),佐藤 圭浩、小川 祐樹、山口 敦子、河合 孝純、髙橋 弘毅,yab811301,32D,対象[23-23],対開講(月3、月4)
火,1,前期前半,1,,English I-A,畑 和樹,yaa812104,22G,対象[25-25],対開講(火1、金1)
火,1,前期前半,2,,Presentation Strategies,中村 優子,yaa082101,32K,対象[24-23],対開講(火1、金1)
火,1,前期前半,2,,再・English III-A,ストーン リチャード,yaa812102,31F,対象[24-23],対開講(火1、金1)
火,1,前期前半,2,,再・English II-A,成田 哲,yaa812103,32B,対象[24-23],対開講(火1、金1)
火,1,前期後半,1,,心理学入門,大津 嘉代子,yab002101,32A,対象[25-23],対開講(火1、火2)
火,1,前期後半,1,,English I-B,畑 和樹,yab812104,22G,対象[25-25],対開講(火1、金1)
火,1,前期後半,2,,再・English III-B,ストーン リチャード,yab812102,31F,対象[24-23],対開講(火1、金1)
火,1,前期後半,2,,再・English II-B,成田 哲,yab812103,32B,対象[24-23],対開講(火1、金1)
火,1,前期後半,3,,Intercultural Understanding(2),中村 優子,yab812101,32G,対象[23-23],対開講(火1、金1)
火,2,前期前半,1,,社会学入門(a),牛膓 政孝,yaa092201,33I,対象[25-20],
火,2,前期前半,2,,Academic Discussion,畑 和樹,yaa812201,32J,対象[24-23],対開講(火2、金2)
火,2,前期後半,1,,心理学入門,大津 嘉代子,yab002101,32A,対象[25-23],対開講(火1、火2)
火,2,前期後半,1,,社会学入門(b),牛膓 政孝,yab092201,33I,対象[25-20],
火,2,前期後半,2,,English Test Preparation for Academic Purposes,畑 和樹,yab812201,32G,対象[24-23],対開講(火2、金2)
火,2,前期後半,3,,特別講義（Towards　Humanistically- Principled A.I. Systems),デトレフ ラングマン,yab812203,32I,対象[23-23],対開講(火2、金2)
火,3,前期前半,1,,データサイエンスリテラシー(1),河合 孝純,yaa092302,FEIS,対象[25-23],対開講(火3、火4)
火,3,前期前半,1,,社会学入門(a),牛膓 政孝,yaa092301,33I,対象[25-20],
火,3,前期前半,3,,デザインリサーチ,永盛 祐介,yaa814101,33K,対象[23-23],対開講(火3、火4)
火,3,前期後半,1,,社会学入門(b),牛膓 政孝,yab092301,33I,対象[25-20],
火,3,前期後半,1,クラス１,データサイエンス数学,髙橋 弘毅,yab812302,32A,対象[25-23],対開講(火3、火4)
火,3,前期後半,2,,デザインプレゼンテーション,永盛 祐介,yaa812301,31B,対象[24-23],対開講(火3、火4)
火,3,前期後半,3,,企業経営分析ケーススタディ,赤木 宏匡,yaa815301,32F,対象[23-23],対開講(火3、火4)
火,4,前期前半,1,,データサイエンスリテラシー(1),河合 孝純,yaa092302,FEIS,対象[25-23],対開講(火3、火4)
火,4,前期前半,3,,デザインリサーチ,永盛 祐介,yaa814101,33K,対象[23-23],対開講(火3、火4)
火,4,前期後半,1,クラス１,データサイエンス数学,髙橋 弘毅,yab812302,32A,対象[25-23],対開講(火3、火4)
火,4,前期後半,2,,デザインプレゼンテーション,永盛 祐介,yaa812301,31B,対象[24-23],対開講(火3、火4)
火,4,前期後半,3,,企業経営分析ケーススタディ,赤木 宏匡,yaa815301,32F,対象[23-23],対開講(火3、火4)
水,1,前期前半,1,,データサイエンス概論,河合 孝純,yaa813102,32A,対象[25-23],対開講(水1、水2)
水,1,前期前半,2,,サービスイノベーション,関 良明,yaa813103,FEIS,対象[24-23],対開講(水1、水2)
水,1,前期前半,3,,ビッグデータ解析演習,山口 敦子,yaa813101,31B,対象[23-23],対開講(水1、水2)
水,1,前期後半,1,,スポーツ・健康論,岩嶋 孝夫,yab003101,33K,対象[25-23],対開講(水1、木4)
水,1,前期後半,1,クラス2,データサイエンス数学,新井 優太,yab813103,31C,対象[25-23],対開講(水1、水2)
水,1,前期後半,2,,経営戦略概論,葉村 真樹,yab813102,33I,対象[24-23],対開講(水1、水2)
水,1,前期後半,3,,ベイズ統計学,河合 孝純,yab813101,32B,対象[23-23],対開講(水1、水2)
水,2,前期前半,1,,データサイエンス概論,河合 孝純,yaa813102,32A,対象[25-23],対開講(水1、水2)
